,Temperature_Fuji,Precipitation_Fuji,Windspeed_Fuji,Temperature_Gotemba,Precipitation_Gotemba,Windspeed_Gotemba,Temperature_Kawaguchiko,Windspeed_Kawaguchiko,Temperature_Nanbu,Precipitation_Nanbu,Windspeed_Nanbu,Temperature_Odawara,Precipitation_Odawara,Windspeed_Odawara,Temperature_Yamanaka,Precipitation_Yamanaka,Temperature_Fujisan,Precipitation_Hakone
2022-10-16 08:00:00,20.885530193307236,0.0,0.727614361286481,19.386611946634734,0.0,3.5206784380288836,15.658913793424606,1.8078029345554565,20.108351021354785,0.0,0.5067652012420256,20.273324193488026,0.0,0.767797886117926,15.989969452884575,0.0,3.3514126186585784,0.0
2022-10-16 09:00:00,22.55395204877721,0.0,1.7222261397924212,20.53822935887673,0.0,4.428091033520178,16.133528217717338,2.1948839742222095,22.543984813518154,0.0,1.9035198590425386,22.3316323721817,0.0,1.178549367948772,15.757985273936553,0.0,4.2459615381415965,0.0
2022-10-16 10:00:00,23.92449191629303,0.0,1.575471205516639,20.837847487234658,0.0,4.482228934769659,16.51081711626498,3.0556827711899417,23.405881253331586,0.0,2.042623045952824,21.61985918811897,0.0,0.7796449345811315,16.384661951721263,0.0,4.0996122663038275,0.0
2022-10-16 11:00:00,24.918916243447896,0.0,4.305295041594346,20.665045757770198,0.0,2.522805657084254,16.051745807728103,2.2330298863366393,23.30220248813023,0.0,2.473923481331241,21.12178687338718,0.0,1.227683478360388,16.97535485099363,0.0,4.337653902687173,0.0
2022-10-16 12:00:00,25.412021046977433,0.0,4.876209834537166,21.050294275471046,0.0,3.616058522258907,16.68607895848897,3.188183956029566,24.64643846756364,0.0,2.632155850877006,22.333762080172463,0.0,1.9675123473831437,16.419031332598813,0.0,6.339453406657054,0.0
2022-10-16 13:00:00,25.056184040590292,0.0,4.855365641023481,21.387490808734476,0.0,3.7246218311450643,16.466105294006024,3.489849438357273,24.754846897908752,0.0,1.8569561376013606,22.693093316788765,0.0,2.252641010405679,17.87698521223215,0.0,6.154554499451464,0.0
2022-10-16 14:00:00,26.2831767252028,0.0,4.676487984827093,21.108702687812695,0.0,3.745750972185725,16.818627046608547,2.3945502720959313,23.964574090840642,0.0,2.958898165768033,23.065256565694458,0.0,2.0669573621942905,17.023599080768296,0.0,9.307561340638792,0.0
2022-10-16 15:00:00,26.69437368085482,0.0,4.008090502046928,20.313998884350266,0.0,3.6768997274714907,15.417439874092238,2.9716535668645285,22.683478187808145,0.0,2.865767121349328,24.010481867586947,0.0,2.380032677389174,16.587752057740076,0.0,2.867590465389324,0.0
2022-10-16 16:00:00,25.049467807027355,0.0,4.486449535911616,19.531658047047195,0.0,2.773530172410958,14.454875041560932,2.3614509872302345,21.54669999672585,0.0,1.4570293716931584,22.350521044846367,0.0,4.833867978875134,15.779744139084888,0.0,1.097958379764954,0.0
2022-10-16 17:00:00,25.149685126536042,0.0,2.968047304249719,18.938944642859713,0.0,2.412626910841629,12.979808277399293,1.7112335159954843,20.901285708508194,0.0,1.3815755575486388,21.50968735547483,0.0,5.1055455543168815,14.701228579663105,0.0,-0.3128442386061462,0.0
2022-10-16 18:00:00,25.095898967025406,0.0,2.3768085823088776,19.81951985932031,0.0,2.032306607527498,12.865897193813293,1.4111199327123374,20.253989784323128,0.0,0.6330398867043314,20.88023406255542,0.0,5.692412414029373,14.648442802540771,0.0,-0.4557520150095854,0.0
2022-10-17 08:00:00,21.295648655703285,0.0,2.0116729892372347,18.561514223733006,0.0,0.0,16.76833205010338,1.7946682057132504,19.37346910267992,0.0,1.4470777925282579,21.1903293224422,0.0,0.8436399998185442,15.376821803641075,0.0,2.9759586982162958,0.0
2022-10-17 09:00:00,23.344259314272623,0.0,1.3338399878234108,21.10997778040674,0.0,2.0276306051735764,16.0930186108018,0.9179635883226412,19.676066222603882,0.0,0.7128623184996753,22.22712773081208,0.0,1.4137188085739585,15.69974310811586,0.0,2.956453745665652,0.0
2022-10-17 10:00:00,24.297688960106452,0.0,1.0546581802680626,21.395486795392486,0.0,3.474990810776106,15.668473309656902,1.5452399905409764,19.117696115389478,0.0,0.8153419948755076,23.497895768507476,0.0,1.596236823461721,15.546921212435795,0.0,3.340009195620081,0.0
